id_transacao,data_venda,id_loja,id_produto,quantidade,preco_unitario,desconto_percentual,vendedor,forma_pagamento,nome_loja,cidade,estado,metros_quadrados,data_inauguracao,gerente,meta_faturamento_q1,meta_transacoes_q1,valor_total_venda
7041,2025-01-05,105,1004,51,25.52,0.129,Fernanda Costa,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,1133.62
7030,2025-01-25,104,1001,6,44.71,0.136,Carlos Souza,Cartão Crédito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,231.78
7104,2025-01-09,101,1006,19,6.41,0.187,Maria Lima,Cartão Débito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,99.02
7015,2025-01-26,102,1006,14,72.8,0.051,Fernanda Costa,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,967.22
7006,2025-01-19,105,1007,35,118.02,0.21899999999999997,Carlos Souza,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,3226.08
7011,2025-01-29,101,1001,32,73.95,0.127,Ana Silva,Cartão Crédito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,2065.87
7071,2025-01-13,101,1015,50,77.15,0.12,Ana Silva,Cartão Crédito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,3394.6
7031,2025-01-01,102,1007,47,51.31,0.135,João Pereira,Cartão Débito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,2086.01
7048,2025-01-15,102,1013,40,29.03,0.033,Ana Silva,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1122.88
7115,2025-01-11,104,1011,13,9.64,0.207,Maria Lima,Boleto,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,99.38
7117,2025-01-15,104,1015,59,106.26,0.055,Ana Silva,PIX,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,5924.53
7124,2025-01-28,105,1008,37,98.04,0.155,Carlos Souza,Dinheiro,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,3065.22
7032,2025-01-27,102,1001,50,46.12,0.1,Ana Silva,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,2075.4
7003,2025-01-14,105,1007,31,54.97,0.154,João Pereira,Boleto,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,1441.64
7114,2025-01-18,102,1009,15,35.0,0.14,Ana Silva,Dinheiro,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,451.5
7084,2025-01-20,102,1004,59,12.06,0.026000000000000002,Ana Silva,Cartão Crédito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,693.04
7112,2025-01-13,104,1012,38,9.66,0.147,Ana Silva,Cartão Débito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,313.12
7028,2025-01-31,102,1012,7,89.29,0.161,Carlos Souza,Dinheiro,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,524.4
7074,2025-01-25,102,1001,10,17.56,0.067,Maria Lima,Cartão Débito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,163.83
7056,2025-01-22,104,1007,4,16.43,0.026000000000000002,Ana Silva,Cartão Crédito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,64.01
7090,2025-01-24,105,1012,48,63.81,0.066,Fernanda Costa,Cartão Crédito,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,2860.73
7086,2025-01-28,104,1013,20,80.45,0.06,Fernanda Costa,Cartão Débito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,1512.46
7116,2025-01-25,104,1009,9,109.2,0.20800000000000002,João Pereira,Cartão Crédito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,778.38
7049,2025-01-08,101,1011,27,18.89,0.207,Ana Silva,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,404.45
7037,2025-01-04,101,1003,57,73.28,0.037000000000000005,Ana Silva,Cartão Crédito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,4022.41
7000,2025-01-10,105,1001,50,90.74,0.055999999999999994,Carlos Souza,Dinheiro,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,4282.93
7075,2025-01-13,101,1009,51,74.04,0.225,Maria Lima,Boleto,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,2926.43
7009,2025-01-30,101,1005,19,80.39,0.051,Maria Lima,Cartão Crédito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,1449.51
7002,2025-01-31,102,1009,37,37.5,0.179,João Pereira,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1139.14
7081,2025-01-18,102,1004,12,111.84,0.05,Maria Lima,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1274.98
7121,2025-01-22,105,1002,28,113.9,0.16399999999999998,Maria Lima,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,2666.17
7099,2025-01-16,102,1008,36,55.04,0.16,Carlos Souza,Cartão Débito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1664.41
7035,2025-01-25,102,1008,18,73.52,0.177,Carlos Souza,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1089.13
7005,2025-01-18,104,1013,34,88.75,0.192,Fernanda Costa,Cartão Crédito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,2438.14
7013,2025-01-18,104,1007,38,43.11,0.11599999999999999,Ana Silva,Dinheiro,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,1448.15
7129,2025-01-26,101,1008,22,37.64,0.209,Ana Silva,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,655.01
7034,2025-01-18,102,1003,34,75.11,0.201,João Pereira,Dinheiro,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,2040.44
7088,2025-01-13,102,1010,44,95.54,0.138,João Pereira,Cartão Crédito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,3623.64
7116,2025-01-25,104,1009,9,109.2,0.20800000000000002,João Pereira,Cartão Crédito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,778.38
7054,2025-01-08,102,1011,52,45.5,0.10300000000000001,Carlos Souza,Cartão Crédito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,2122.3
7108,2025-01-16,105,1010,28,119.84,0.11900000000000001,Fernanda Costa,Cartão Débito,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,2956.21
7089,2025-01-11,101,1005,31,7.59,0.08900000000000001,Carlos Souza,Boleto,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,214.35
7073,2025-01-22,102,1005,57,26.21,0.026000000000000002,Maria Lima,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1455.13
7016,2025-01-08,101,1004,10,28.99,0.027000000000000003,Fernanda Costa,Cartão Débito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,282.07
7107,2025-01-25,101,1003,39,12.7,0.114,Fernanda Costa,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,438.84
7050,2025-01-20,104,1003,4,18.82,0.18899999999999997,Carlos Souza,Cartão Débito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,61.05
7026,2025-01-22,101,1011,41,101.67,0.040999999999999995,Fernanda Costa,Cartão Débito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,3997.56
7064,2025-01-27,101,1005,8,31.08,0.091,Ana Silva,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,226.01
7023,2025-01-04,105,1008,18,73.77,0.154,Ana Silva,Dinheiro,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,1123.37
7071,2025-01-13,101,1015,50,77.15,0.12,Ana Silva,Cartão Crédito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,3394.6
7065,2025-01-12,105,1001,54,25.64,0.17800000000000002,Ana Silva,Boleto,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,1138.11
7024,2025-01-09,101,1015,11,63.28,0.21100000000000002,Carlos Souza,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,549.21
7087,2025-01-08,104,1012,38,20.44,0.06,Fernanda Costa,Cartão Débito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,730.12
7045,2025-01-25,105,1004,14,21.18,0.04,João Pereira,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,284.66
7100,2025-01-28,101,1007,28,73.82,0.23,Carlos Souza,Boleto,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,1591.56
7072,2025-01-30,105,1007,34,84.34,0.013999999999999999,João Pereira,Cartão Crédito,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,2827.41
7007,2025-01-23,104,1001,13,72.87,0.08900000000000001,João Pereira,PIX,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,863.0
7042,2025-01-27,105,1006,24,18.87,0.154,Fernanda Costa,Cartão Débito,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,383.14
7051,2025-01-26,105,1005,45,54.85,0.18,Fernanda Costa,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,2023.96
7018,2025-01-21,101,1015,43,110.94,0.142,João Pereira,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,4093.02
7046,2025-01-26,104,1008,58,19.9,0.203,Fernanda Costa,Boleto,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,919.9
7094,2025-01-23,102,1015,21,116.56,0.218,Maria Lima,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1914.15
7004,2025-01-14,101,1012,29,42.16,0.084,Maria Lima,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,1119.94
7038,2025-01-23,104,1005,48,3.78,0.17800000000000002,Carlos Souza,Cartão Débito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,149.14
7113,2025-01-20,102,1013,29,39.7,0.096,João Pereira,Cartão Crédito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1040.78
7063,2025-01-28,105,1008,5,46.78,0.107,Maria Lima,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,208.87
7015,2025-01-26,102,1006,14,72.8,0.051,Fernanda Costa,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,967.22
7082,2025-01-20,102,1014,15,67.3,0.053,João Pereira,Boleto,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,956.0
7053,2025-01-04,102,1010,33,22.24,0.059000000000000004,Ana Silva,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,690.62
7083,2025-01-25,104,1002,21,57.1,0.156,Maria Lima,Cartão Débito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,1012.04
7033,2025-01-31,105,1006,16,51.53,0.21,João Pereira,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,651.34
7020,2025-01-25,105,1010,51,54.71,0.127,Fernanda Costa,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,2435.85
7080,2025-01-23,101,1004,5,19.78,0.049,João Pereira,Cartão Crédito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,94.05
7127,2025-01-07,104,1013,55,115.39,0.165,Maria Lima,Cartão Débito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,5299.29
8083,2025-02-28,104,1003,33,19.35,0.217,João Pereira,PIX,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,499.98
8099,2025-02-14,104,1014,49,55.09,0.18100000000000002,Ana Silva,Dinheiro,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,2210.82
8071,2025-02-03,101,1007,29,17.36,0.17,Maria Lima,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,417.86
8098,2025-02-03,101,1015,57,44.91,0.134,Carlos Souza,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,2216.85
8102,2025-02-23,101,1010,22,28.75,0.215,Maria Lima,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,496.51
8003,2025-02-15,101,1011,44,60.86,0.21,Maria Lima,Cartão Débito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,2115.49
8108,2025-02-25,104,1001,43,31.49,0.099,João Pereira,Cartão Crédito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,1220.02
8053,2025-02-26,102,1005,52,31.74,0.052000000000000005,Maria Lima,Cartão Crédito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1564.66
8057,2025-02-16,102,1003,13,71.31,0.10300000000000001,Fernanda Costa,Cartão Crédito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,831.55
8076,2025-02-07,104,1009,50,31.86,0.077,João Pereira,PIX,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,1470.34
8009,2025-02-11,102,1008,55,45.51,0.012,Fernanda Costa,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,2473.01
8016,2025-02-08,104,1014,22,86.04,0.08,Ana Silva,Cartão Crédito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,1741.45
8018,2025-02-28,104,1007,34,33.11,0.19699999999999998,Fernanda Costa,PIX,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,903.97
8092,2025-02-12,102,1007,22,14.05,0.21100000000000002,João Pereira,Cartão Débito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,243.88
8084,2025-02-16,102,1003,23,99.31,0.005,Maria Lima,Cartão Débito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,2272.71
8012,2025-02-12,101,1011,23,117.64,0.195,Maria Lima,Cartão Débito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,2178.1
8093,2025-02-06,104,1013,14,72.29,0.005,Maria Lima,Dinheiro,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,1007.0
8024,2025-02-01,102,1005,56,85.39,0.183,João Pereira,Boleto,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,3906.76
8008,2025-02-07,102,1013,24,75.78,0.115,Maria Lima,Cartão Crédito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1609.57
8106,2025-02-09,102,1003,16,86.0,0.081,Ana Silva,Cartão Débito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1264.54
8073,2025-02-14,102,1009,43,118.1,0.19699999999999998,Carlos Souza,Boleto,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,4077.87
8089,2025-02-01,101,1010,1,43.71,0.214,João Pereira,Dinheiro,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,34.36
8059,2025-02-18,105,1008,34,119.16,0.084,Ana Silva,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,3711.12
8011,2025-02-23,102,1010,54,22.77,0.071,Ana Silva,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1142.28
8104,2025-02-11,105,1005,45,98.37,0.032,Fernanda Costa,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,4285.0
8026,2025-02-13,105,1007,19,57.47,0.21100000000000002,Maria Lima,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,861.53
8041,2025-02-11,102,1008,8,109.38,0.203,Ana Silva,Dinheiro,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,697.41
8066,2025-02-16,105,1007,5,73.88,0.11699999999999999,Fernanda Costa,Cartão Débito,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,326.18
8056,2025-02-12,102,1008,56,109.21,0.09300000000000001,Carlos Souza,Cartão Débito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,5546.99
8064,2025-02-18,101,1007,30,106.85,0.166,Fernanda Costa,Cartão Crédito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,2673.39
8044,2025-02-01,102,1010,37,29.42,0.031,Maria Lima,Boleto,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1054.8
8097,2025-02-22,105,1008,1,43.92,0.035,João Pereira,Cartão Débito,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,42.38
8030,2025-02-14,102,1008,27,9.97,0.153,João Pereira,Cartão Débito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,228.0
8051,2025-02-02,101,1012,50,90.57,0.011000000000000001,Carlos Souza,Dinheiro,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,4478.69
8044,2025-02-01,102,1010,37,29.42,0.031,Maria Lima,Boleto,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1054.8
8020,2025-02-07,102,1005,19,9.18,0.033,Maria Lima,Cartão Débito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,168.66
8103,2025-02-01,104,1009,22,19.32,0.162,Carlos Souza,Boleto,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,356.18
8078,2025-02-13,101,1011,58,101.8,0.073,Maria Lima,Boleto,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,5473.38
8017,2025-02-07,101,1008,47,17.73,0.099,João Pereira,Cartão Crédito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,750.81
8028,2025-02-14,105,1015,44,29.26,0.10400000000000001,Maria Lima,Boleto,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,1153.55
8023,2025-02-25,101,1002,45,43.52,0.11900000000000001,Fernanda Costa,Dinheiro,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,1725.35
8069,2025-02-04,101,1001,19,98.7,0.109,Fernanda Costa,Cartão Débito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,1670.89
8052,2025-02-16,101,1008,5,116.72,0.113,Ana Silva,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,517.65
8037,2025-02-20,105,1013,51,18.7,0.053,Ana Silva,Cartão Crédito,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,903.15
8114,2025-02-19,105,1001,22,44.55,0.013000000000000001,Fernanda Costa,Cartão Crédito,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,967.36
8031,2025-02-09,101,1012,36,111.24,0.018000000000000002,Fernanda Costa,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,3932.56
8021,2025-02-05,104,1008,45,62.2,0.064,João Pereira,Dinheiro,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,2619.86
8014,2025-02-14,101,1012,56,46.79,0.106,João Pereira,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,2342.49
8033,2025-02-09,105,1012,38,115.22,0.23800000000000002,Maria Lima,Dinheiro,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,3336.31
8094,2025-02-07,102,1012,46,108.01,0.027999999999999997,Maria Lima,Dinheiro,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,4829.34
8061,2025-02-11,105,1012,2,56.29,0.171,Fernanda Costa,Dinheiro,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,93.33
8060,2025-02-09,102,1014,18,82.49,0.139,Carlos Souza,Cartão Crédito,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1278.43
8110,2025-02-25,105,1013,6,48.06,0.233,João Pereira,Cartão Débito,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,221.17
8096,2025-02-06,101,1013,37,95.32,0.09,Fernanda Costa,Boleto,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,3209.42
8055,2025-02-05,104,1012,26,75.8,0.165,Fernanda Costa,Cartão Crédito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,1645.62
8035,2025-02-17,104,1008,4,50.39,0.237,João Pereira,PIX,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,153.79
8095,2025-02-20,102,1009,1,59.59,0.145,João Pereira,Boleto,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,50.95
