id_transacao;data_venda;id_loja;id_produto;quantidade;preco_unitario;desconto_percentual;vendedor;forma_pagamento
5122;10/01/2025;102;1009;23;R$ 4,48;9,1%;;Cartão Crédito
5090;15/01/2025;104;1004;22;R$ 8,47;4,6%;ana silva;Dinheiro
5058;2025-01-05;101;1003;33;R$ 35,64;5,7%;Fernanda Costa;Cartão Débito
5110;01/01/2025;104;1009;40;R$ 73,73;13,9%;Carlos Souza;Dinheiro
5031;2025-01-08;105;1013;31;R$ 36,86;7,9%;Ana Silva;PIX
5016;28/01/2025;104;1014;49;R$ 46,97;17,1%;João Pereira;
5082;2025-01-07;102;1007;28;R$ 28,83;6,2%;Carlos Souza;Dinheiro
5071;07/01/2025;103;1003;36;R$ 80,87;4,1%;ana silva;Cartão Débito
5075;2025-01-28;101;1007;8;R$ 11,39;18,6%;MARIA LIMA;Cartão Débito
5003;29/01/2025;104;1010;27;R$ 64,30;12,3%;ana silva;
5112;2025-01-29;101;1006;13;R$ 88,69;15,1%;Maria Lima;Boleto
5123;28/01/2025;101;1001;9;R$ 43,99;;Carlos  Souza;Cartão Crédito
5116;07/01/2025;101;1011;17;R$ 70,65;;Carlos Souza;Dinheiro
5109;31/01/2025;102;1010;35;R$ 35,52;14,2%;MARIA LIMA;PIX
5098;02/01/2025;105;1015;8;R$ 56,91;12,0%;MARIA LIMA;PIX
5045;09/01/2025;101;1006;46;R$ 27,85;17,7%;Fernanda Costa;Cartão Débito
5120;25/01/2025;102;1006;37;R$ 13,11;22,8%;Ana Silva;PIX
5136;03/01/2025;103;1015;39;R$ 4,55;20,6%;Carlos Souza;
5027;2025-01-15;104;1008;24;R$ 59,08;20,7%;;Dinheiro
5093;2025-01-26;105;1010;6;R$ 80,20;8,7%;Maria Lima;Cartão Débito
5011;2025-01-21;102;1012;5;R$ 56,71;;  Ana Silva ;Dinheiro
5051;2025-01-03;103;1008;2;R$ 72,92;12,6%;Ana Silva;Boleto
5026;2025-01-02;105;1015;37;R$ 37,04;;Fernanda Costa;
5118;2025-01-07;105;1011;28;R$ 40,15;3,1%;ana silva;Dinheiro
5072;11/01/2025;101;1003;45;R$ 37,13;20,9%;MARIA LIMA;Cartão Crédito
5014;2025-01-27;102;1002;4;R$ 35,87;11,4%;Ana Silva;Cartão Débito
5150;2025-01-06;105;1002;47;R$ 53,98;10,9%;ana silva;Cartão Crédito
5068;07/01/2025;105;1002;24;R$ 47,15;;MARIA LIMA;PIX
5037;2025-01-14;102;1001;33;R$ 5,07;13,3%;Maria Lima;Cartão Débito
5073;13/01/2025;105;1015;20;R$ 4,44;7,8%;Fernanda Costa;Boleto
5095;03/01/2025;101;1009;43;R$ 13,61;20,9%;Maria Lima;Cartão Débito
5059;08/01/2025;105;1007;9;R$ 70,58;7,2%;  Ana Silva ;Boleto
5065;2025-01-09;105;1015;26;R$ 68,69;;MARIA LIMA;Boleto
5103;06/01/2025;102;1015;4;R$ 74,51;13,2%;Ana Silva;Cartão Débito
5083;01/01/2025;104;1006;34;R$ 31,90;4,1%;ana silva;Boleto
5053;2025-01-07;105;1013;42;R$ 18,83;19,3%;Maria Lima;Dinheiro
5035;26/01/2025;101;1001;32;R$ 9,49;11,0%;;PIX
5049;24/01/2025;101;1007;22;R$ 79,31;13,4%;;PIX
5057;2025-01-23;103;1008;40;R$ 39,15;24,0%;ana silva;Cartão Débito
5067;13/01/2025;105;1013;25;R$ 81,48;1,7%;MARIA LIMA;PIX
5147;16/01/2025;103;1008;14;R$ 63,61;24,0%;Fernanda Costa;
5079;2025-01-20;104;1007;12;R$ 53,05;11,6%;;
5070;30/01/2025;102;1006;7;R$ 31,15;3,1%;Ana Silva;Cartão Débito
5087;27/01/2025;103;1009;22;R$ 71,72;12,9%;Maria Lima;Cartão Crédito
5134;2025-01-08;103;1014;1;R$ 22,82;3,3%;Carlos Souza;Cartão Crédito
5029;15/01/2025;105;1011;49;R$ 50,64;4,7%;Carlos  Souza;
5008;2025-01-21;102;1001;28;R$ 18,46;5,0%;ana silva;Boleto
5004;26/01/2025;102;1013;34;R$ 44,47;20,5%;Carlos  Souza;Dinheiro
5033;10/01/2025;103;1010;33;R$ 81,72;17,8%;Carlos  Souza;Boleto
5038;15/01/2025;102;1003;3;R$ 11,66;;Maria Lima;Cartão Crédito
5043;2025-01-26;101;1015;3;R$ 5,51;18,5%;Carlos Souza;PIX
5113;2025-01-28;104;1004;42;R$ 68,59;24,1%;MARIA LIMA;Cartão Débito
5107;2025-01-05;103;1012;30;R$ 88,75;4,9%;Carlos Souza;Cartão Débito
5055;08/01/2025;102;1014;26;R$ 73,21;14,1%;Fernanda Costa;Cartão Débito
5088;2025-01-05;103;1001;25;R$ 11,38;11,5%;Carlos Souza;Dinheiro
5127;12/01/2025;102;1006;47;R$ 59,59;19,5%;ana silva;Cartão Crédito
5111;27/01/2025;101;1005;16;R$ 85,34;20,1%;ana silva;Cartão Crédito
5132;2025-01-24;103;1011;40;R$ 28,19;10,1%;Maria Lima;Dinheiro
5032;30/01/2025;102;1001;35;R$ 86,55;17,1%;;Cartão Débito
5142;01/01/2025;103;1003;26;R$ 9,88;18,3%;Ana Silva;Boleto
5064;14/01/2025;103;1011;42;R$ 68,38;19,8%;;Cartão Crédito
5094;2025-01-30;103;1003;15;R$ 33,82;15,6%;Carlos Souza;Cartão Crédito
5046;13/01/2025;103;1014;24;R$ 13,71;3,6%;Ana Silva;
5125;28/01/2025;104;1006;1;R$ 13,77;9,1%;MARIA LIMA;Dinheiro
5139;14/01/2025;101;1009;29;R$ 80,49;12,4%;Ana Silva;PIX
5030;17/01/2025;103;1015;46;R$ 84,84;15,8%;Ana Silva;PIX
5054;2025-01-28;101;1010;2;R$ 68,35;;Carlos  Souza;Cartão Crédito
5107;2025-01-05;103;1012;30;R$ 88,75;4,9%;Carlos Souza;Cartão Débito
5144;20/01/2025;102;1008;37;R$ 87,25;14,3%;Carlos  Souza;Cartão Débito
5061;2025-01-05;101;1015;48;R$ 83,92;2,5%;Carlos  Souza;PIX
5019;2025-01-23;104;1011;28;R$ 17,58;11,8%;Maria Lima;Cartão Crédito
5084;30/01/2025;102;1010;2;R$ 61,61;;Carlos Souza;Dinheiro
5148;2025-01-19;103;1015;28;R$ 42,77;2,3%;Fernanda Costa;Cartão Crédito
5067;13/01/2025;105;1013;25;R$ 81,48;1,7%;MARIA LIMA;PIX
5039;23/01/2025;103;1013;18;R$ 62,51;13,6%;Carlos Souza;Cartão Débito
5121;23/01/2025;101;1005;26;R$ 46,06;8,4%;Fernanda Costa;Cartão Débito
5117;01/01/2025;105;1008;19;R$ 51,75;18,4%;Maria Lima;Cartão Débito
5062;2025-01-03;105;1007;39;R$ 77,67;18,2%;;Cartão Débito
5024;2025-01-14;105;1009;35;R$ 84,74;9,5%;MARIA LIMA;Cartão Crédito
5001;2025-01-07;101;1002;8;R$ 7,02;22,9%;João Pereira;
5053;2025-01-07;105;1013;42;R$ 18,83;19,3%;Maria Lima;Dinheiro
5119;2025-01-01;104;1013;26;R$ 81,81;16,1%;João Pereira;Cartão Crédito
5150;2025-01-06;105;1002;47;R$ 53,98;10,9%;ana silva;Cartão Crédito
5140;22/01/2025;103;1007;3;R$ 49,09;2,7%;Fernanda Costa;PIX
5105;24/01/2025;102;1008;45;R$ 10,53;21,7%;  Ana Silva ;PIX
5089;10/01/2025;102;1013;22;R$ 46,22;21,5%;MARIA LIMA;
5138;29/01/2025;104;1007;22;R$ 7,23;1,7%;;PIX
5077;2025-01-21;105;1012;16;R$ 85,59;2,9%;Fernanda Costa;Cartão Crédito
5078;28/01/2025;105;1010;14;R$ 85,63;21,6%;ana silva;Cartão Crédito
5013;12/01/2025;104;1014;19;R$ 7,41;14,8%;Carlos  Souza;Dinheiro
5034;2025-01-29;105;1004;21;R$ 20,42;15,6%;MARIA LIMA;Cartão Crédito
5124;16/01/2025;104;1005;12;R$ 8,36;8,6%;;Cartão Débito
5042;2025-01-15;101;1015;31;R$ 76,50;22,0%;  Ana Silva ;
5114;2025-01-19;102;1010;30;R$ 36,01;3,5%;Carlos Souza;
5096;2025-01-17;101;1013;37;R$ 15,85;7,4%;Fernanda Costa;Dinheiro
5012;26/01/2025;102;1010;48;R$ 58,37;23,3%;Fernanda Costa;
5115;31/01/2025;103;1002;19;R$ 10,71;8,1%;ana silva;Boleto
5076;13/01/2025;103;1005;46;R$ 31,09;19,7%;ana silva;Dinheiro
5002;2025-01-15;103;1012;27;R$ 77,41;;Ana Silva;Cartão Débito
5097;2025-01-27;105;1002;33;R$ 69,29;13,2%;Carlos  Souza;Dinheiro
5006;2025-01-21;104;1005;30;R$ 45,98;21,0%;  Ana Silva ;PIX
5023;2025-01-04;101;1015;6;R$ 54,11;24,8%;;PIX
5020;25/01/2025;103;1009;30;R$ 9,60;19,9%;João Pereira;PIX
5100;2025-01-01;103;1015;44;R$ 10,77;8,4%;ana silva;Cartão Débito
5022;09/01/2025;101;1009;46;R$ 5,79;10,2%;Carlos Souza;PIX
5074;2025-01-27;101;1009;1;R$ 81,73;15,2%;  Ana Silva ;
5018;30/01/2025;101;1013;44;R$ 60,41;0,1%;Maria Lima;Cartão Débito
5143;14/01/2025;105;1015;16;R$ 51,35;15,8%;;Dinheiro
5063;26/01/2025;105;1014;29;R$ 40,57;2,6%;Carlos Souza;PIX
5028;12/01/2025;105;1014;29;R$ 43,09;20,0%;;Dinheiro
5048;01/01/2025;102;1012;47;R$ 57,84;18,9%;MARIA LIMA;Dinheiro
5080;11/01/2025;101;1009;23;R$ 58,09;23,0%;Maria Lima;Dinheiro
5040;30/01/2025;105;1004;25;R$ 9,65;8,3%;Fernanda Costa;Cartão Crédito
5041;2025-01-16;105;1015;42;R$ 31,06;17,3%;Maria Lima;Cartão Crédito
5021;2025-01-19;101;1010;29;R$ 59,01;21,3%;Ana Silva;Cartão Crédito
5141;29/01/2025;103;1003;12;R$ 89,29;6,6%;;Cartão Crédito
5131;2025-01-20;103;1014;25;R$ 35,89;18,5%;Ana Silva;Dinheiro
5108;06/01/2025;103;1003;47;R$ 35,84;14,9%;Ana Silva;Dinheiro
5060;03/01/2025;104;1003;43;R$ 32,95;22,8%;  Ana Silva ;Dinheiro
5056;01/01/2025;101;1011;17;R$ 89,08;15,0%;Ana Silva;PIX
5012;26/01/2025;102;1010;48;R$ 58,37;23,3%;Fernanda Costa;
5085;2025-01-13;102;1014;32;R$ 68,51;19,5%;João Pereira;Dinheiro
5052;27/01/2025;101;1002;27;R$ 27,87;12,2%;Carlos  Souza;
5069;29/01/2025;102;1010;13;R$ 74,91;21,0%;ana silva;Dinheiro
5036;2025-01-10;102;1008;23;R$ 12,21;8,9%;ana silva;Dinheiro
5130;2025-01-16;105;1004;48;R$ 86,63;12,1%;Ana Silva;
